lecture_id,part,tags,video_length,deployed_at
l520,5,142,-1,-1
l592,6,142,-1,-1
l1259,1,222,359000,1570424729123
l1260,1,220,487000,1570424738105
l1261,1,221,441000,1570424743162
l1262,1,223,587000,1570424748780
l1263,1,224,490000,1570424755399
l1264,2,227,298000,1570424755678
l1265,2,231,303000,1570424760727
l1266,2,229,345000,1570424765161
l1267,2,230,342000,1570424769152
l1268,2,228,509000,1570424772499
l1269,2,225,363000,1570424776381
l1271,2,226,369000,1570424780860
l1246,2,192,460000,1570424784819
l1247,2,189,530000,1570424788652
l1248,2,190,412000,1570424792500
l883,2,190,-1,-1
l1339,5,129,164000,-1
l1272,2,234,382000,1570424796673
l844,0,187,197000,1542120364192
l1273,2,233,416000,1570424800401
l638,7,148,-1,-1
l639,7,153,-1,-1
l640,7,156,-1,-1
l641,7,149,-1,-1
l642,7,168,-1,-1
l643,7,169,-1,-1
l644,7,150,-1,-1
l1249,2,191,420000,1570424803798
l1250,2,188,438000,1570424807202
l1275,3,240,412000,1570424811788
l1276,3,252,684000,1570424819602
l1277,3,251,730000,1570424829569
l1278,3,249,763000,1570424838155
l1279,3,253,706000,1570424846045
l1287,4,236,685000,1570424906965
l1288,4,237,651000,1570424914462
l1289,4,243,689000,1570424923352
l1290,4,242,644000,1570424931447
l1291,4,238,680000,1570424938654
l1292,4,239,777000,1570424947218
l1293,5,256,474000,1570424947500
l829,7,195,540000,-1
l830,7,195,422000,-1
l828,7,195,-1,-1
l1338,0,204,197000,-1
l1294,5,292,541000,1570424947782
l1295,5,276,595000,1570424948062
l1296,5,287,434000,1570424950121
l1297,5,271,474000,1570424952252
l1298,5,275,471000,1570424954420
l1299,5,277,594000,1570424956569
l1300,5,260,265000,1570424956853
l1301,5,272,404000,1570424958953
l1302,5,264,686000,1570424966877
l1251,5,88,524000,1570424972650
l1303,5,290,398000,1570424974780
l1304,5,281,544000,1570424979406
l1305,5,294,452000,1570424981508
l1306,5,278,384000,1570424983599
l1307,5,289,537000,1570424989755
l1308,5,286,750000,1570424991900
l1309,5,284,547000,1570425000173
l1310,5,255,511000,1570425000452
l1319,5,261,533000,1570425031435
l1320,5,270,666000,1570425033516
l1321,5,269,452000,1570425038385
l1322,5,282,752000,1570425042396
l1323,5,293,929000,1570425048250
l1252,5,130,1037000,1570425050311
l1324,5,258,332000,1570425050590
l1253,5,72,554000,1570425052724
l1254,5,135,588000,1570425054834
l1325,5,280,715000,1570425056909
l1326,5,279,698000,1570425060064
l1327,5,274,769000,1570425063797
l1328,5,273,896000,1570425066366
l1329,5,266,543000,1570425068494
l1330,5,265,972000,1570425072141
l1331,5,257,165000,1570425072425
l1255,5,100,526000,1570425076442
l1256,5,101,418000,1570425080478
l1332,6,254,163000,1570425080757
l1333,6,283,761000,1570425090652
l1257,6,134,453000,1570425096646
l1258,6,143,611000,1570425101096
l1334,7,295,343000,1570425101372
l1335,7,298,816000,1570425101652
l1336,7,297,623000,1570425106959
l1337,7,296,501000,1570425112977
l651,1,187,264000,1570425113265
l652,2,187,294000,1570425113551
l653,3,187,187000,1570425113831
l654,4,187,200000,1570425114123
l655,5,187,179000,1570425114402
l656,6,187,232000,1570425114683
l657,7,187,297000,1570425114963
l845,0,199,323000,1570425115528
l846,0,199,334000,1570425115808
l847,0,200,253000,1570425116090
l848,0,200,279000,1570425116369
l849,0,200,213000,1570425116648
l850,0,201,246000,1570425116928
l851,0,201,275000,1570425117215
l852,0,202,273000,1570425117493
l853,0,202,257000,1570425117772
l854,0,203,266000,1570425118056
l889,0,206,261000,1570425124261
l890,0,207,287000,1570425129678
l891,0,208,275000,1570425136350
l892,0,209,287000,1570425142944
l893,0,210,146000,1570425151628
l894,0,211,189000,1570425157072
l895,0,212,267000,1570425163073
l1280,3,250,710000,1570424854199
l1281,3,246,645000,1570424862956
l1282,3,248,673000,1570424871349
l1283,3,245,702000,1570424881068
l1284,3,247,690000,1570424890764
l1285,4,241,395000,1570424891043
l1286,4,244,689000,1570424898581
l1311,5,268,610000,1570425004078
l1312,5,291,492000,1570425007722
l1313,5,285,1042000,1570425011359
l1314,5,267,624000,1570425015448
l1315,5,288,793000,1570425017670
l1316,5,259,278000,1570425017945
l1317,5,262,813000,1570425020006
l1318,5,263,543000,1570425022150
l1270,2,232,360000,1570424780579
l756,5,94,164000,1542120376688
l456,2,23,177000,1542120362641
l457,2,30,137000,1542120362682
l458,2,27,144000,1542120362727
l1274,2,235,457000,1570424811509
l805,5,99,230000,1570426256512
l855,0,203,253000,1570425118345
l856,0,203,277000,1570425118624
l896,0,213,415000,1570425172392
l897,0,214,379000,1570425183345
l898,0,215,385000,1570425189856
l899,0,216,465000,1570425190141
l900,0,199,293000,1570425190422
l901,0,199,186000,1570425190701
l902,0,200,229000,1570425190979
l533,5,108,132000,1570426133158
l903,0,200,208000,1570425191259
l904,0,201,276000,1570425191547
l905,0,201,228000,1570425191828
l906,0,202,245000,1570425192107
l907,0,202,214000,1570425192387
l908,0,203,288000,1570425192667
l909,0,203,211000,1570425192946
l419,1,12,-1,1570425197756
l420,1,16,-1,1570425202412
l421,1,22,-1,1570425209243
l422,1,9,-1,1570425215790
l423,1,14,-1,1570425222171
l424,1,8,-1,1570425227976
l425,1,5,-1,1570425236427
l658,1,15,-1,1570425242420
l426,1,13,-1,1570425247238
l427,1,1,-1,1570425253620
l428,1,4,-1,1570425261113
l429,1,180,-1,1570425266326
l430,1,3,-1,1570425273078
l431,1,6,-1,1570425279686
l432,1,18,-1,1570425285742
l433,1,10,-1,1570425290526
l434,1,11,-1,1570425295231
l435,1,17,-1,1570425301324
l436,1,20,-1,1570425308502
l437,1,19,-1,1570425312736
l659,1,1,228000,1570425313015
l660,1,3,221000,1570425313295
l661,1,4,243000,1570425313578
l662,1,8,217000,1570425313873
l663,1,14,247000,1570425314156
l664,1,10,272000,1570425314457
l665,1,16,232000,1570425314748
l666,1,9,197000,1570425315028
l667,1,12,234000,1570425315305
l668,1,13,165000,1570425315587
l669,1,6,280000,1570425315863
l670,1,10,241000,1570425316142
l671,1,5,193000,1570425316418
l672,1,20,188000,1570425316696
l673,1,10,223000,1570425316979
l674,1,6,198000,1570425317255
l675,1,9,219000,1570425317554
l676,1,17,204000,1570425317840
l677,1,14,183000,1570425318131
l678,1,15,185000,1570425318416
l679,1,11,187000,1570425318701
l680,1,9,159000,1570425318981
l681,1,20,163000,1570425319260
l682,1,180,147000,1570425319541
l857,1,13,212000,1570425319825
l858,1,15,254000,1570425320108
l859,1,15,221000,1570425320389
l860,1,11,206000,1570425320669
l861,1,14,211000,1570425320946
l862,1,10,170000,1570425321224
l863,1,20,170000,1570425321506
l864,1,11,193000,1570425321785
l865,1,18,233000,1570425322065
l866,1,11,207000,1570425322347
l438,2,24,225000,1570425326418
l439,2,28,211000,1570425331432
l440,2,38,248000,1570425335816
l441,2,36,253000,1570425340117
l442,2,44,235000,1570425345145
l443,2,31,219000,1570425349307
l444,2,46,186000,1570425353074
l445,2,34,224000,1570425356731
l446,2,25,171000,1570425359844
l447,2,33,208000,1570425364050
l448,2,41,177000,1570425369270
l449,2,50,224000,1570425374032
l450,2,43,215000,1570425377774
l451,2,40,215000,1570425380455
l452,2,48,227000,1570425384895
l453,2,26,171000,1570425388464
l454,2,49,-1,1570425391825
l455,2,42,191000,1570425394449
l683,2,23,177000,1570425397257
l684,2,30,137000,1570425401580
l685,2,27,144000,1570425407893
l686,2,51,-1,1570425409516
l687,2,189,162000,1570425410840
l688,2,189,213000,1570425412172
l689,2,35,170000,1570425414267
l690,2,43,116000,1570425415914
l691,2,190,128000,1570425417608
l692,2,42,138000,1570425420043
l693,2,25,161000,1570425421923
l694,2,40,167000,1570425423548
l695,2,41,140000,1570425424990
l696,2,192,149000,1570425426697
l697,2,190,169000,1570425428204
l698,2,35,147000,1570425429473
l699,2,40,146000,1570425431347
l700,2,191,122000,1570425434456
l701,2,50,128000,1570425436771
l702,2,48,116000,1570425438939
l703,2,33,213000,1570425440905
l704,2,42,128000,1570425441943
l705,2,26,156000,1570425442225
l706,2,193,134000,1570425442509
l707,2,188,130000,1570425442789
l708,2,49,103000,1570425443071
l709,2,30,252000,1570425447299
l710,2,30,214000,1570425447580
l711,2,23,130000,1570425449409
l712,2,27,135000,1570425455925
l713,2,30,129000,1570425456207
l714,2,30,110000,1570425456497
l715,2,51,150000,1570425456774
l867,2,190,163000,1570425457055
l868,2,40,137000,1570425457335
l869,2,41,134000,1570425457613
l870,2,191,166000,1570425457895
l871,2,35,122000,1570425458174
l872,2,50,117000,1570425458456
l873,2,42,112000,1570425458731
l874,2,189,124000,1570425459010
l875,2,50,113000,1570425459296
l876,2,25,138000,1570425459575
l877,2,189,126000,1570425459850
l878,2,189,109000,1570425460134
l879,2,192,126000,1570425460429
l880,2,189,112000,1570425460706
l881,2,33,115000,1570425460985
l888,2,205,116000,1570425461267
l882,2,42,118000,1570425461551
l884,2,40,107000,1570425462117
l459,3,57,249000,1570425467597
l460,3,58,166000,1570425474350
l461,3,56,141000,1570425478377
l462,3,55,120000,1570425483199
l463,3,53,157000,1570425486721
l464,3,52,181000,1570425490998
l465,3,54,165000,1570425497875
l716,3,55,306000,1570425501252
l717,3,55,370000,1570425504872
l718,3,53,390000,1570425508493
l719,3,56,358000,1570425513426
l569,6,120,206000,1570426415007
l720,3,57,360000,1570425517441
l721,3,52,372000,1570425523933
l722,3,52,359000,1570425528344
l723,3,54,355000,1570425532350
l724,3,58,312000,1570425535921
l725,3,57,307000,1570425540050
l726,3,58,328000,1570425545009
l727,3,54,310000,1570425548997
l466,4,59,174000,1570425558534
l467,4,66,180000,1570425564629
l468,4,61,209000,1570425573318
l728,4,194,211000,1570425583861
l469,4,69,229000,1570425593560
l470,4,62,176000,1570425604463
l471,4,70,211000,1570425616097
l472,4,68,175000,1570425624064
l473,4,65,158000,1570425631532
l474,4,60,252000,1570425641071
l475,4,63,228000,1570425650937
l476,4,64,149000,1570425658939
l477,4,67,194000,1570425669158
l478,4,57,226000,1570425671285
l479,4,58,184000,1570425674444
l480,4,56,197000,1570425678601
l481,4,55,258000,1570425682638
l482,4,53,212000,1570425688890
l483,4,52,232000,1570425692819
l484,4,54,205000,1570425698893
l729,4,52,329000,1570425701754
l730,4,52,351000,1570425704627
l731,4,53,421000,1570425707554
l732,4,57,390000,1570425710482
l733,4,58,459000,1570425716061
l734,4,52,322000,1570425719029
l735,4,56,320000,1570425722083
l736,4,53,381000,1570425726951
l737,4,54,288000,1570425729930
l738,4,58,370000,1570425734265
l739,4,53,277000,1570425737188
l740,4,57,329000,1570425740092
l485,5,77,190000,1570425759703
l486,5,74,-1,1570425792892
l487,5,85,222000,1570425800647
l488,5,76,264000,1570425815178
l489,5,83,381000,1570425826196
l490,5,71,342000,1570425831964
l491,5,86,187000,1570425841330
l492,5,98,196000,1570425848140
l648,5,78,258000,1570425858770
l494,5,134,268000,1570425872135
l495,5,119,261000,1570425877560
l496,5,88,305000,1570425887384
l649,5,120,206000,1570425892110
l650,5,94,320000,1570425901471
l499,5,73,269000,1570425908192
l500,5,133,153000,1570425916479
l501,5,105,181000,1570425924310
l502,5,107,178000,1570425930967
l503,5,92,295000,1570425938663
l504,5,103,263000,1570425956244
l505,5,100,194000,1570425960623
l506,5,106,226000,1570425969459
l507,5,84,300000,1570425988513
l508,5,96,280000,1570425999036
l509,5,118,202000,1570426003802
l510,5,82,392000,1570426013565
l511,5,80,261000,1570426019867
l512,5,75,150000,1570426023606
l513,5,121,273000,1570426028788
l514,5,129,276000,1570426033609
l515,5,101,200000,1570426038864
l516,5,130,326000,1570426055160
l517,5,72,207000,1570426060519
l518,5,144,-1,1570426062937
l519,5,93,239000,1570426068361
l521,5,81,393000,1570426080187
l522,5,114,370000,1570426087969
l523,5,116,236000,1570426094022
l524,5,87,256000,1570426097984
l525,5,138,249000,1570426101603
l526,5,128,154000,1570426104854
l527,5,135,195000,1570426108999
l528,5,89,193000,1570426112193
l529,5,115,225000,1570426117691
l530,5,124,242000,1570426124003
l531,5,113,202000,1570426126589
l532,5,104,134000,1570426130381
l534,5,122,137000,1570426136407
l535,5,99,266000,1570426141639
l536,5,111,294000,1570426148512
l537,5,91,152000,1570426152257
l538,5,132,258000,1570426156519
l539,5,131,-1,1570426158077
l540,5,137,283000,1570426165008
l541,5,117,-1,1570426168016
l542,5,125,251000,1570426173713
l543,5,95,253000,1570426178473
l544,5,97,178000,1570426181773
l545,5,90,342000,1570426191554
l546,5,79,175000,1570426196896
l547,5,126,172000,1570426201559
l548,5,110,133000,1570426205581
l549,5,109,217000,1570426211607
l550,5,145,223000,1570426215961
l551,5,123,151000,1570426220326
l552,5,140,176000,1570426224905
l553,5,102,110000,1570426227166
l554,5,112,131000,1570426231009
l555,5,136,104000,1570426233956
l556,5,141,107000,1570426236237
l741,5,119,296000,1570426236702
l742,5,71,193000,1570426237264
l743,5,86,248000,1570426237988
l744,5,74,187000,1570426238685
l745,5,106,245000,1570426238970
l746,5,93,157000,1570426239251
l747,5,81,268000,1570426239536
l748,5,87,197000,1570426239817
l749,5,95,206000,1570426240100
l750,5,124,216000,1570426240381
l751,5,122,177000,1570426240670
